频道名称,tvg-id,tvg-name,Logo链接,频道分类,播放地址,单播ID,分辨率
CCTV1综合,CCTV1,CCTV1,CCTV1.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221228078/10000100000000060000000002460690_0.smil,4646,1920x1080
CCTV2财经,CCTV2,CCTV2,CCTV2.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221228083/10000100000000060000000002633372_0.smil,4704,1920x1080
CCTV3综艺,CCTV3,CCTV3,CCTV3.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221229136/10000100000000060000000005809121_0.smil,5376344,1920x1080
CCTV4中文国际,CCTV4,CCTV4,CCTV4.png,央视,233.50.200.101:5140,,1920x1080
CCTV5体育,CCTV5,CCTV5,CCTV5.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221229114/10000100000000060000000005809143_0.smil,5376348,1920x1080
CCTV5+体育赛事,CCTV5+,CCTV5+,CCTV5+.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221229201/52583204.smil,52583203,1920x1080
CCTV6电影,CCTV6,CCTV6,CCTV6.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221229161/10000100000000060000000005809142_0.smil,5376347,1920x1080
CCTV7国防军事,CCTV7,CCTV7,CCTV7.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221228093/10000100000000060000000002633385_0.smil,4709,1920x1080
CCTV8电视剧,CCTV8,CCTV8,CCTV8.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221229157/10000100000000060000000005809141_0.smil,5376346,1920x1080
CCTV9纪录,CCTV9,CCTV9,CCTV9.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221228112/10000100000000060000000002633384_0.smil,4708,1920x1080
CCTV10科教,CCTV10,CCTV10,CCTV10.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221228131/10000100000000060000000002633383_0.smil,4707,1920x1080
CCTV11戏曲,CCTV11,CCTV11,CCTV11.png,央视,233.50.200.132:5140,,1920x1080
CCTV12社会与法,CCTV12,CCTV12,CCTV12.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221228130/10000100000000060000000002633382_0.smil,4706,1920x1080
CCTV13新闻,CCTV13,CCTV13,CCTV13.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221229154/52628615.smil,52628614,1920x1080
CCTV14少儿,CCTV14,CCTV14,CCTV14.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221228088/10000100000000060000000002633381_0.smil,4705,1920x1080
CCTV15音乐,CCTV15,CCTV15,CCTV15.png,央视,233.50.200.133:5140,,1920x1080
CCTV16奥林匹克,CCTV16,CCTV16,CCTV16.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221229307/70526246.smil,70526245,1920x1080
CCTV17农业农村,CCTV17,CCTV17,CCTV17.png,央视,233.50.200.113:5140,,1920x1080
CCTV16奥林匹克4K,CCTV16,CCTV16,CCTV16.png,4K超高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229331/74036079.smil,74036078,3840x2160
北京卫视4K,北京卫视,北京卫视,北京卫视4K.png,4K超高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229453/128124469.smil,128124468,0x0
广东卫视4K,广东卫视,广东卫视,广东卫视4K.png,4K超高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229456/131699760.smil,131699759,3840x2160
深圳卫视4K,深圳卫视,深圳卫视,深圳卫视4K.png,4K超高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229455/131699790.smil,131699789,3840x2160
欢笑剧场4K,欢笑剧场,欢笑剧场,欢笑剧场4K.png,4K超高清,233.50.200.52:5140,,3840x2160
BesTV-1,BesTV-1,BesTV-1,BesTV.png,4K超高清,233.50.200.182:5140,,3840x2160
BesTV-2,BesTV-2,BesTV-2,BesTV.png,4K超高清,233.50.200.183:5140,,3840x2160
BesTV-3,BesTV-3,BesTV-3,BesTV.png,4K超高清,233.50.200.185:5140,,3840x2160
浙江卫视,浙江卫视,浙江卫视,浙江卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221228012/10000100000000060000000000794032_0.smil,3844,1920x1080
深圳卫视,深圳卫视,深圳卫视,深圳卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227988/10000100000000060000000000794038_0.smil,3849,1920x1080
广东卫视,广东卫视,广东卫视,广东卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221228011/10000100000000060000000000794034_0.smil,3845,1920x1080
湖南卫视,湖南卫视,湖南卫视,湖南卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227983/10000100000000060000000000794037_0.smil,3848,1920x1080
天津卫视,天津卫视,天津卫视,天津卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221228016/10000100000000060000000000794035_0.smil,3846,1920x1080
山东卫视,山东卫视,山东卫视,山东卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227978/10000100000000060000000000794036_0.smil,3847,1920x1080
江苏卫视,江苏卫视,江苏卫视,江苏卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221228067/10000100000000060000000001063212_0.smil,4345,1920x1080
北京卫视,北京卫视,北京卫视,北京卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221228080/10000100000000060000000001063209_0.smil,4344,1920x1080
纪实科教,纪实科教,纪实科教,纪实科教.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229419/110036300.smil,110036299,1920x1080
四川卫视,四川卫视,四川卫视,四川卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229046/10000100000000060000000004835838_0.smil,5375991,1920x1080
河北卫视,河北卫视,河北卫视,河北卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229050/10000100000000060000000004836297_0.smil,5375992,1920x1080
辽宁卫视,辽宁卫视,辽宁卫视,辽宁卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229042/10000100000000060000000004835836_0.smil,5375989,1920x1080
贵州卫视,贵州卫视,贵州卫视,贵州卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229044/10000100000000060000000004835835_0.smil,5375988,1920x1080
重庆卫视,重庆卫视,重庆卫视,重庆卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229061/10000100000000060000000004835834_0.smil,5375987,1920x1080
河南卫视,河南卫视,河南卫视,河南卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229057/10000100000000060000000004835833_0.smil,5375986,1920x1080
江西卫视,江西卫视,江西卫视,江西卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229127/10000100000000060000000004835832_0.smil,5375985,1920x1080
东南卫视,东南卫视,东南卫视,东南卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229040/10000100000000060000000004835831_0.smil,5375984,1920x1080
安徽卫视,安徽卫视,安徽卫视,安徽卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221228120/10000100000000060000000002242150_0.smil,4626,1920x1080
湖北卫视,湖北卫视,湖北卫视,湖北卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221228102/10000100000000060000000002242149_0.smil,4625,1920x1080
黑龙江卫视,黑龙江卫视,黑龙江卫视,黑龙江卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221228068/10000100000000060000000002242148_0.smil,4624,1920x1080
东方卫视,东方卫视,东方卫视,东方卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221228140/10000100000000060000000002670196_0.smil,4744,1920x1080
甘肃卫视,甘肃卫视,甘肃卫视,甘肃卫视.png,卫视,233.50.200.163:5140,,1920x1080
海南卫视,海南卫视,海南卫视,海南卫视.png,卫视,233.50.200.165:5140,,1920x1080
广西卫视,广西卫视,广西卫视,广西卫视.png,卫视,233.50.200.136:5140,,1920x1080
云南卫视,云南卫视,云南卫视,云南卫视.png,卫视,233.50.200.115:5140,,1920x1080
吉林卫视,吉林卫视,吉林卫视,吉林卫视.png,卫视,233.50.202.42:5140,,1920x1080
三沙卫视,三沙卫视,三沙卫视,三沙卫视.png,卫视,233.50.200.175:5140,,1920x1080
内蒙古卫视,内蒙古卫视,内蒙古卫视,内蒙古卫视.png,卫视,233.50.201.148:5140,,720x576
青海卫视,青海卫视,青海卫视,青海卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227765/10000100000000060000000000304132_0.smil,2784,720x576
西藏卫视,西藏卫视,西藏卫视,西藏卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221228005/10000100000000060000000000793620_0.smil,3824,720x576
陕西卫视,陕西卫视,陕西卫视,陕西卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227826/10000100000000060000000000304223_0.smil,2818,720x576
兵团卫视,兵团卫视,兵团卫视,兵团卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221228006/10000100000000060000000000789241_0.smil,3805,720x576
山西卫视,山西卫视,山西卫视,山西卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227787/10000100000000060000000000304213_0.smil,2816,720x576
宁夏卫视,宁夏卫视,宁夏卫视,宁夏卫视.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227855/10000100000000060000000000304710_0.smil,2847,720x576
延边卫视,延边卫视,延边卫视,延边卫视.png,卫视,233.50.200.184:5140,,720x576
中国教育1台,中国教育1台,中国教育1台,CETV1.png,卫视,233.50.200.169:5140,,1920x1080
中国教育4台,中国教育4台,中国教育4台,CETV4.png,卫视,233.50.200.162:5140,,1920x1080
凤凰中文,凤凰中文,凤凰中文,凤凰中文.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229422/110077577.smil,110077576,1920x1080
凤凰资讯,凤凰资讯,凤凰资讯,凤凰资讯.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229423/110077527.smil,110077526,1920x1080
卡酷少儿,卡酷少儿,卡酷少儿,卡酷少儿.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229420/110036417.smil,110036416,1920x1080
哈哈炫动,哈哈炫动,哈哈炫动,哈哈炫动.png,卫视,233.50.200.167:5140,,1920x1080
金鹰卡通,金鹰卡通,金鹰卡通,金鹰卡通.png,卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229202/59229692.smil,59229691,720x576
CGTN,CGTN,CGTN,CGTN.png,国际,rtsp://115.233.41.137/PLTV/88888913/224/3221228108/10000100000000060000000002707382_0.smil,4784,720x576
CGTN西班牙语,CGTN西语,CGTN西语,CGTN西班牙语.png,国际,rtsp://115.233.41.137/PLTV/88888913/224/3221229180/54864297.smil,54864296,720x576
CGTN法语,CGTN法语,CGTN法语,CGTN法语.png,国际,rtsp://115.233.41.137/PLTV/88888913/224/3221229271/54864338.smil,54864337,720x576
CGTN阿拉伯语,CGTN阿语,CGTN阿语,CGTN阿拉伯语.png,国际,rtsp://115.233.41.137/PLTV/88888913/224/3221229158/54864306.smil,54864305,720x576
CGTN俄罗斯语,CGTN俄语,CGTN俄语,CGTN俄罗斯语.png,国际,rtsp://115.233.41.137/PLTV/88888913/224/3221229162/54864352.smil,54864351,720x576
钱江频道,浙江钱江都市,浙江钱江都市,钱江频道.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229041/10000100000000060000000004799139_0.smil,5375944,1920x1080
浙江经济生活,浙江经济生活,浙江经济生活,浙江经济生活.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229115/10000100000000060000000004799165_0.smil,5375950,1920x1080
浙江教科影视,浙江教科影视,浙江教科影视,浙江教科影视.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229111/10000100000000060000000004799164_0.smil,5375949,1920x1080
浙江民生休闲,浙江民生休闲,浙江民生休闲,浙江民生休闲.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229045/10000100000000060000000004799162_0.smil,5375947,1920x1080
浙江公共新闻,浙江公共新闻,浙江公共新闻,浙江公共新闻.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229034/10000100000000060000000004799161_0.smil,5375946,1920x1080
浙江少儿,浙江少儿,浙江少儿,浙江少儿.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229030/10000100000000060000000004799160_0.smil,5375945,1920x1080
之江纪录,之江纪录,之江纪录,之江纪录.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229409/92749537.smil,92749536,1920x1080
杭州1综合,杭州综合,杭州综合,杭州综合.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229189/52579603.smil,52579602,1920x1080
杭州2明珠,杭州西湖明珠,杭州西湖明珠,杭州明珠.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229152/52579496.smil,52579495,1920x1080
杭州3生活,杭州生活,杭州生活,杭州生活.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229156/52579500.smil,52579499,1920x1080
杭州4影视,杭州影视,杭州影视,杭州影视.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229142/52579609.smil,52579608,1920x1080
杭州5青少,杭州青少体育,杭州青少体育,杭州青少.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229217/57567111.smil,57567110,1920x1080
杭州导视,杭州导视,杭州导视,杭州导视.png,地方,rtsp://115.233.41.137/PLTV/88888913/224/3221229263/52579543.smil,52579542,1920x1080
临平新闻,临平新闻,临平新闻,,地方,233.50.202.32:5140,,720x576
余杭新闻,余杭新闻,余杭新闻,,地方,233.50.201.159:5140,,720x576
宁波1新闻,宁波TV1,宁波TV1,宁波新闻综合.png,地方,233.50.201.168:5140,,1920x1080
宁波2经济,宁波TV2,宁波TV2,宁波经济生活.png,地方,233.50.201.178:5140,,1920x1080
宁波3文体,宁波TV3,宁波TV3,宁波都市文体.png,地方,233.50.201.179:5140,,1920x1080
宁波4影视,宁波TV4,宁波TV4,宁波影视剧.png,地方,233.50.201.180:5140,,1920x1080
温州新闻综合,温州新闻综合,温州新闻综合,温州新闻综合.png,地方,233.50.201.87:5140,,1920x1080
绍兴新闻综合,绍兴新闻综合,绍兴新闻综合,绍兴新闻综合.png,地方,233.50.201.156:5140,,1920x1080
湖州新闻综合,湖州新闻综合,湖州新闻综合,湖州新闻综合.png,地方,233.50.201.158:5140,,720x576
金华新闻综合,金华新闻,金华新闻,金华新闻综合.png,地方,233.50.201.161:5140,,720x576
丽水新闻综合,丽水新闻综合,丽水新闻综合,丽水新闻综合.png,地方,233.50.201.162:5140,,720x576
嘉兴新闻综合,嘉兴新闻综合,嘉兴新闻综合,嘉兴新闻综合.png,地方,233.50.201.163:5140,,720x576
桐乡新闻综合,桐乡新闻综合,桐乡新闻综合,桐乡新闻综合.png,地方,233.50.201.169:5140,,720x576
衢州新闻综合,衢州新闻综合,衢州新闻综合,衢州新闻综合.png,地方,233.50.202.11:5140,,1920x1080
衢州公共,衢州公共,衢州公共,衢州公共.png,地方,233.50.202.12:5140,,1920x1080
欢笑剧场,欢笑剧场,欢笑剧场,欢笑剧场.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229240/72486906.smil,72486903,1920x1080
都市剧场,都市剧场,都市剧场,都市剧场.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229244/72486950.smil,72486949,1920x1080
法制天地,法制天地,法制天地,法制天地.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229323/72486984.smil,72486983,1920x1080
动漫秀场,动漫秀场,动漫秀场,动漫秀场.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229236/72486907.smil,72486905,1920x1080
游戏风云,游戏风云,游戏风云,游戏风云.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229289/72488480.smil,72488479,1920x1080
乐游,乐游,乐游,乐游.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229285/72486834.smil,72486833,1920x1080
金色学堂,金色学堂,金色学堂,金色学堂.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229315/72486946.smil,72486945,1920x1080
生活时尚,生活时尚,生活时尚,生活时尚.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229277/72486909.smil,72486904,1920x1080
茶频道,茶频道,茶频道,茶频道.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229281/72486910.smil,72486908,1920x1080
快乐垂钓,快乐垂钓,快乐垂钓,快乐垂钓.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229327/72487516.smil,72487515,1920x1080
睛彩竞技,睛彩竞技,睛彩竞技,睛彩竞技.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229408/94611403.smil,94611400,1920x1080
睛彩篮球,睛彩篮球,睛彩篮球,睛彩篮球.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229412/94611355.smil,94611354,1920x1080
睛彩青少,睛彩青少,睛彩青少,睛彩青少.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229411/94611457.smil,94611456,1920x1080
睛彩广场舞,睛彩广场舞,睛彩广场舞,睛彩广场舞.png,付费,rtsp://115.233.41.137/PLTV/88888913/224/3221229410/94611402.smil,94611401,1920x1080
东方财经,东方财经,东方财经,东方财经.png,其他,233.50.200.177:5140,,1920x1080
第一财经,第一财经,第一财经,第一财经.png,其他,233.50.200.125:5140,,1920x1080
环球旅游,环球旅游,环球旅游,环球旅游.png,其他,rtsp://115.233.41.137/PLTV/88888913/224/3221229415/103499735.smil,103499734,1920x1080
浙江之声广播,浙江之声广播,浙江之声广播,浙江之声广播.png,广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228218/10000100000000060000000003102657_0.smil,4844,无视频流
浙江新闻广播,浙江新闻广播,浙江新闻广播,浙江新闻广播.png,广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228332/10000100000000060000000003102947_0.smil,4851,无视频流
浙江经济广播,浙江经济广播,浙江经济广播,浙江经济广播.png,广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228223/10000100000000060000000003102668_0.smil,4845,无视频流
浙江音乐调频,浙江音乐调频,浙江音乐调频,浙江音乐调频.png,广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228228/10000100000000060000000003102672_0.smil,4846,无视频流
浙江交通之声,浙江交通之声,浙江交通之声,浙江交通之声.png,广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228265/10000100000000060000000003102675_0.smil,4847,无视频流
浙江旅游之声,浙江旅游之声,浙江旅游之声,浙江旅游之声.png,广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228327/10000100000000060000000003102677_0.smil,4848,无视频流
浙江城市之声,浙江城市之声,浙江城市之声,浙江城市之声.png,广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228291/10000100000000060000000003102680_0.smil,4850,无视频流
浙江民生资讯广播,浙江民生资讯广播,浙江民生资讯广播,浙江民生资讯广播.png,广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228233/10000100000000060000000003102678_0.smil,4849,无视频流
